"","ABV","IBU"
"1405",0.052,21
"1408",0.052,21
"1409",0.07,70
"1419",0.053,10
"1420",0.053,14
"1421",0.037,10
"1422",0.052,30
"1423",0.053,30
"1424",0.086,35
"1425",0.042,24
"1426",0.05,22
"1427",0.042,24
"1428",0.07,22
"1429",0.065,32
"1430",0.055,15
"1433",0.085,86
"1434",0.085,86
"1437",0.061,11
"1438",0.065,65
"1439",0.048,10
"1440",0.048,15
"1441",0.057,29
"1444",0.045,40
"1445",0.065,70
"1446",0.05,29
"1447",0.056,21
"1452",0.052,18
"1453",0.05,29
"1454",0.052,18
"1455",0.05,29
"1456",0.065,70
"1457",0.052,18
"1458",0.065,70
"1460",0.052,18
"1461",0.034,6
"1466",0.088,85
"1468",0.088,85
"1478",0.056,20
"1479",0.056,30
"1480",0.052,50
"1483",0.042,35
"1488",0.051,31
"1489",0.072,80
"1494",0.045,50
"1495",0.049,26
"1496",0.048,19
"1497",0.06,38
"1498",0.06,25
"1499",0.056,47
"1502",0.063,42
"1508",0.061,66
"1509",0.051,7
"1510",0.067,70
"1511",0.054,24
"1512",0.058,27
"1513",0.067,70
"1514",0.082,25
"1515",0.049,27
"1516",0.048,35
"1517",0.048,35
"1522",0.092,72
"1523",0.087,29
"1524",0.054,36
"1529",0.095,19
"1530",0.065,26
"1531",0.06,29
"1532",0.05,45
"1533",0.057,26
"1534",0.05,23
"1536",0.065,65
"1539",0.046,20
"1552",0.049,35
"1560",0.065,65
"1561",0.065,65
"1562",0.053,35
"1565",0.065,65
"1567",0.065,65
"1568",0.065,65
"1569",0.087,85
"1570",0.065,65
"1571",0.065,65
"1572",0.087,85
"1575",0.08,70
"1577",0.09,60
"1578",0.087,85
"1579",0.099,98
"1580",0.053,35
"1581",0.099,100
"1582",0.08,35
"1583",0.087,85
"1584",0.065,65
"1585",0.092,85
"1586",0.095,98
"1587",0.099,98
"1588",0.08,35
"1589",0.08,35
"1590",0.08,35
"1591",0.065,65
"1592",0.065,65
"1593",0.065,65
"1594",0.065,65
"1595",0.065,65
"1597",0.087,60
"1598",0.087,85
"1599",0.099,98
"1600",0.08,85
"1601",0.08,35
"1602",0.065,65
"1603",0.065,65
"1604",0.055,45
"1605",0.055,55
"1606",0.04,39
"1609",0.052,23
"1610",0.053,48
"1611",0.045,22
"1612",0.044,28
"1613",0.05,24
"1614",0.042,35
"1615",0.062,65
"1617",0.048,35
"1618",0.055,25
"1621",0.05,61
"1622",0.04,12
"1623",0.05,17
"1624",0.065,77
"1625",0.062,62
"1628",0.055,10
"1629",0.048,15
"1631",0.065,65
"1632",0.05,40
"1633",0.05,35
"1641",0.041,12
"1642",0.059,25
"1643",0.069,20
"1644",0.067,74
"1645",0.061,60
"1648",0.07,75
"1651",0.06,20
"1653",0.06,24
"1654",0.045,18
"1655",0.055,25
"1656",0.045,18
"1657",0.055,20
"1658",0.07,70
"1660",0.069,51
"1661",0.057,31
"1666",0.054,45
"1670",0.059,14
"1671",0.069,17
"1672",0.06,15
"1673",0.058,21
"1674",0.057,68
"1675",0.058,21
"1676",0.059,14
"1677",0.052,18
"1678",0.052,18
"1679",0.045,35
"1680",0.055,30
"1682",0.058,60
"1683",0.044,5
"1684",0.046,25
"1685",0.099,85
"1686",0.051,21
"1688",0.053,52
"1689",0.06,50
"1690",0.051,21
"1691",0.072,55
"1692",0.062,55
"1694",0.051,17
"1695",0.055,45
"1697",0.047,25
"1698",0.058,18
"1700",0.065,44
"1701",0.065,44
"1702",0.058,27
"1706",0.05,16
"1707",0.05,40
"1708",0.09,60
"1709",0.07,100
"1710",0.099,100
"1711",0.05,25
